step,cosine_similarity
0,0.19991983473300934
1,-0.09037354588508606
2,-0.007657610345631838
3,0.09960196912288666
4,0.10523758828639984
5,-0.4678429365158081
6,-0.07360381633043289
7,0.08260384202003479
8,-0.2672843933105469
9,-0.1401880383491516
10,0.07079701125621796
11,-0.2785114049911499
12,0.440353661775589
13,-0.14830511808395386
14,-0.05066978186368942
15,0.260396808385849
16,0.18920426070690155
17,-0.14495721459388733
18,-0.019347699359059334
19,0.2861785888671875
20,0.18334785103797913
21,0.16374514997005463
22,-0.09937673062086105
23,0.23547106981277466
24,-0.09724906086921692
25,-0.044526565819978714
26,0.039630092680454254
27,-0.377850204706192
28,0.02224642038345337
29,-0.15492548048496246
30,-0.26137569546699524
31,-0.19717447459697723
32,-0.3953057527542114
33,0.18785564601421356
34,-0.09636705368757248
35,-0.026941988617181778
36,0.00872031133621931
37,-0.19688846170902252
38,0.048106808215379715
39,0.06514764577150345
40,-0.1499919593334198
41,0.3449963331222534
42,-0.20142555236816406
43,0.05734068900346756
44,0.2707110643386841
45,0.030827762559056282
46,-0.43781816959381104
47,-0.1307670772075653
48,-0.09119899570941925
49,0.016576571390032768
50,0.04907635971903801
51,0.014666657894849777
52,0.22938242554664612
53,0.019709588959813118
54,-0.41350552439689636
55,-0.13580137491226196
56,0.19676315784454346
57,-0.12105273455381393
58,0.2015172392129898
59,-0.47245699167251587
60,-0.22494328022003174
61,0.16087135672569275
62,0.01982617750763893
63,0.029895329847931862
64,0.04421022906899452
65,-0.32312318682670593
66,0.16914471983909607
67,0.10683401674032211
68,0.17713908851146698
69,0.07134711742401123
70,-0.31258970499038696
71,0.20200906693935394
72,0.721595823764801
73,0.06265538185834885
74,-0.19495941698551178
75,0.41285809874534607
76,0.054392069578170776
77,0.21180421113967896
78,-0.3849242925643921
79,-0.13163386285305023
80,0.026998037472367287
81,0.05278051272034645
82,0.1500621736049652
83,-0.22787995636463165
84,0.6148707270622253
85,-0.2030000239610672
86,-0.3497822880744934
87,0.163503497838974
88,-0.11005133390426636
89,-0.14460724592208862
90,-0.06524783372879028
91,-0.1828947812318802
92,0.17551374435424805
93,0.317209392786026
94,0.18673601746559143
95,-0.35744810104370117
96,-0.1182517409324646
97,0.07948968559503555
98,0.03492463752627373
99,0.16031427681446075
100,0.11246885359287262
101,-0.06055733561515808
102,-0.03794500604271889
103,-0.11717861145734787
104,0.12370764464139938
105,0.05414026603102684
106,-0.048585038632154465
107,-0.35671573877334595
108,-0.2135651558637619
109,-0.12823201715946198
110,-0.02225876785814762
111,-0.018472012132406235
112,0.060254741460084915
113,-0.05482636019587517
114,0.15810486674308777
115,-0.1286316066980362
116,-0.09547057747840881
117,-0.316986620426178
118,0.01969187706708908
119,-0.06085363030433655
120,-0.009226301684975624
121,0.21695581078529358
122,0.31437039375305176
123,0.09286025166511536
124,-0.0025268634781241417
125,0.4523746967315674
126,0.24529726803302765
127,0.29849764704704285
128,-0.44109824299812317
129,0.07130419462919235
130,0.1258259266614914
131,0.04017909616231918
132,0.1672218143939972
133,-0.34427177906036377
134,0.11676667630672455
135,-0.14922049641609192
136,0.11688344180583954
137,0.18594034016132355
138,-0.049019843339920044
139,-0.25322845578193665
140,-0.13650639355182648
141,-0.012192953377962112
142,-0.0066476608626544476
143,-0.29878586530685425
144,-0.014866627752780914
145,-0.25202813744544983
146,0.40727555751800537
147,0.17577965557575226
148,-0.1475604623556137
149,-0.3312341868877411
150,0.47630801796913147
151,0.2568361461162567
152,0.055690642446279526
153,-0.14496932923793793
154,0.2086421698331833
155,0.15817007422447205
156,-0.00024986453354358673
157,0.013266380876302719
158,0.14947116374969482
159,0.16949434578418732
160,0.02125404216349125
161,0.1327955573797226
162,0.09865136444568634
163,0.3484947085380554
164,0.2134765386581421
165,-0.10370754450559616
166,0.21594206988811493
167,-0.10007613897323608
168,0.13894972205162048
169,0.31710976362228394
170,0.11406438797712326
171,0.5506929755210876
172,-0.08175472170114517
173,-0.046373769640922546
174,0.007474265992641449
175,0.17924907803535461
176,0.14688566327095032
177,-0.08134599775075912
178,0.06176115199923515
179,0.31393963098526
180,-0.3725528120994568
181,-0.038678254932165146
182,0.33388751745224
183,0.274278849363327
184,-0.15518318116664886
185,-0.3132062256336212
186,-0.15486523509025574
187,0.2956915497779846
188,-0.15517865121364594
189,-0.02806979976594448
190,0.16518768668174744
191,0.12346583604812622
192,0.2361331433057785
193,0.1697155088186264
194,0.2188541144132614
195,0.10700379312038422
196,0.20477929711341858
197,-0.17405124008655548
198,-0.08786436170339584
199,-0.22640787065029144
200,0.3268551826477051
201,-0.05514641851186752
202,-0.17911037802696228
203,-0.1878131777048111
204,-0.3931921124458313
205,-0.02910781465470791
206,-0.3668292164802551
207,0.43657657504081726
208,-0.17506130039691925
209,-0.024149801582098007
210,0.3384397327899933
